_id,Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
541,Mass Pike Towers,Chinatown,02116,200,200,0,0,0,0,200,200,0,Rental,Private,,Y
542,Mattapan Apartments,Dorchester,02122,183,183,0,0,0,0,183,183,0,Rental,Private,,Y
543,Mattapan Center for Life,Mattapan,02126,45,45,0,0,0,0,45,45,0,Rental,Private,Y,
544,Mattapan Heights I AKA: The Foley,Mattapan,02126,176,176,0,24,24,0,152,152,0,Rental,Private,Y,
545,Mattapan Heights II,Mattapan,02126,83,83,0,0,0,0,83,83,0,Rental,Private,,
546,Mattapan Heights III & IV,Mattapan,02126,73,73,0,0,0,0,73,73,0,Rental,Private,,
547,Mattapan Station (4% & 9%),Mattapan,02126,135,135,0,0,0,0,135,135,0,Rental,Private,,
548,MAVERICK GARDENS I,East Boston,02128,150,150,0,0,0,0,150,150,0,Rental,Private,,
549,Maverick Landing (2-8),East Boston,02128,396,396,0,91,91,0,305,305,0,Rental,Private,,
550,Maverick Shipyard Condos (202 Maverick St),East Boston,02128,20,0,20,17,0,17,3,0,3,Ownership,Private,,
551,McCrohon House - HEARTH (SPO),Jamaica Plain,02130,16,16,0,1,1,0,15,15,0,Rental,Private,,
552,Mei Wah Village,Chinatown,02111,41,41,0,0,0,0,41,41,0,Rental,Private,Y,
553,Mendes (VUP),Dorchester,02125,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
554,Meranda (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
555,Mercantile Building,North End,02109,122,122,0,74,74,0,48,48,0,Rental,Private,,Y
556,Meridian House,East Boston,02128,12,12,0,0,0,0,12,12,0,Rental,Private,,
557,Meridian St,East Boston,02128,5,0,5,0,0,0,5,0,5,Ownership,Private,,
558,Methunion Manor Coop,South End,02116,149,149,0,0,0,0,149,149,0,Rental,Private,,Y
559,Mezzo Design Lofts,Charlestown,02129,146,0,146,131,0,131,15,0,15,Ownership,Private,,
560,MHPI Community Apartments,Mission Hill,02120,6,6,0,0,0,0,6,6,0,Rental,Private,,
561,MHPI II,Jamaica Plain,02130,11,11,0,0,0,0,11,11,0,Rental,Private,,
562,MHPI III,Jamaica Plain,02130,12,12,0,0,0,0,12,12,0,Rental,Private,,
563,MHPI IV-A,Jamaica Plain,02130,10,10,0,0,0,0,10,10,0,Rental,Private,,Y
564,MHPI IV-B,Roxbury,02119,10,10,0,0,0,0,10,10,0,Rental,Private,,Y
565,MHPI IV-C,Dorchester,02124,12,12,0,0,0,0,12,12,0,Rental,Private,,
566,MHPI V,Dorchester,02121,16,16,0,0,0,0,16,16,0,Rental,Private,,
567,MHPI VI,Dorchester,02125,15,15,0,0,0,0,15,15,0,Rental,Private,,
568,Midway Phase I,South Boston Waterfront,02127,44,0,44,38,0,38,6,0,6,Ownership,Private,,
569,Midway Studios,South Boston Waterfront,02127,89,89,0,53,53,0,36,36,0,Rental,Private,,
570,Miller (VUP),Dorchester,02122,1,1,0,0,0,0,1,1,0,Rental,Private,,
571,Ming's Restaurant,South End,02118,38,38,0,37,37,0,1,1,0,Rental,Private,,
572,Minot Hall Condominium,South End,02118,45,0,45,42,0,42,3,0,3,Ownership,Private,,
573,Mishawum Assisted Living,Charlestown,02129,66,66,0,33,33,0,33,33,0,Rental,Private,Y,Y
574,Mishawum Park,Charlestown,02129,337,337,0,0,0,0,337,337,0,Rental,Private,,Y
575,Mission Hill Flats,Mission Hill,02120,40,40,0,35,35,0,5,5,0,Rental,Private,,
576,Mission Hill Phase I - HOME AGAIN,Mission Hill,02120,22,6,16,0,0,0,22,6,16,Ownership/Rental,Private,,
577,Mission Hill Phase II,Mission Hill,02130,34,34,0,0,0,0,34,34,0,Rental,Private,,
578,Mission Hill Scattered Sites,Mission Hill,02120,21,0,21,16,0,16,5,0,5,Ownership,Private,,
579,Mission Hill-Phase III - Home Again,Mission Hill,02120,24,6,18,0,0,0,24,6,18,Ownership/Rental,Private,,
580,Mission Main Phase I,Mission Hill,02120,310,310,0,51,51,0,259,259,0,Rental,Private,,
581,Mission Main Phase II,Mission Hill,02120,139,139,0,25,25,0,114,114,0,Rental,Private,,
582,Mission Main Phase III,Mission Hill,02120,86,86,0,14,14,0,72,72,0,Rental,Private,,
583,Mission Park,Mission Hill,02115,775,775,0,0,0,0,775,775,0,Rental,Private,Y,Y
584,MLK/Washington Commons,Roxbury,02119,49,0,49,21,0,21,28,0,28,Ownership,Private,,
585,Monsignor Lyons Condo II,South Boston,02127,6,0,6,0,0,0,6,0,6,Ownership,Private,,
586,Monsignor Lyons II- HOME AGAIN,South Boston,02127,6,0,6,0,0,0,6,0,6,Ownership,Private,,
587,Monsignor Lyons Townhouses,South Boston,02127,10,0,10,0,0,0,10,0,10,Ownership,Private,,
588,Montebello Rd Coop,Jamaica Plain,02130,7,7,0,0,0,0,7,7,0,Cooperative,Private,,
589,Moore (VUP),Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
590,Moreland St Apts,Roxbury,02119,12,12,0,0,0,0,12,12,0,Rental,Private,,
591,Morton Apts,Dorchester,02124,24,24,0,0,0,0,24,24,0,Rental,Private,,Y
592,Morton Village Apts (AOP),Mattapan,02126,207,207,0,0,0,0,207,207,0,Rental,Private,,
593,Morville House,Fenway,02115,147,147,0,0,0,0,147,147,0,Rental,Private,Y,Y
594,Mount Vernon St Housing Project (Phase 1),Dorchester,02125,205,205,0,183,183,0,22,22,0,Rental,Private,,
595,Mr. Lee's Lodge,Roxbury,02119,17,17,0,1,1,0,16,16,0,Rental,Private,,
596,Msgr. Powers/L St. (667-3),South Boston,02127,68,68,0,0,0,0,68,68,0,Rental,Public,Y,
597,Mt Pleasant Apts,Roxbury,02119,98,98,0,0,0,0,98,98,0,Rental,Private,,Y
598,Mt Pleasant Home Inc.,Jamaica Plain,02199,60,60,0,22,22,0,38,38,0,Rental,Private,,
599,Mt. Bowdoin/Erie Ellington - HOME AGAIN,Dorchester,02121,16,6,10,0,0,0,16,6,10,Ownership/Rental,Private,,
600,Munevar (VUP),Jamaica Plain,02130,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
601,Mystic Studios,South End,02118,32,32,0,26,26,0,6,6,0,Rental,Private,,
602,Nashua St Residences at the Fleet Center,West End,02114,503,503,0,473,473,0,30,30,0,Rental,Private,,
603,Nate Smith House,Jamaica Plain,02130,44,44,0,0,0,0,44,44,0,Rental,Private,Y,
604,Nazing Court,Roxbury,02121,151,151,0,0,0,0,151,151,0,Rental,Private,,
605,NEBH Redevelopment,Mission Hill,02120,75,75,0,60,60,0,15,15,0,Rental,Private,Y,
606,NEMA Boston,South Boston Waterfront,02127,414,414,0,360,360,0,54,54,0,Rental,Private,,
607,Neponset Fields - Elderly Housing (202),Hyde Park,02136,31,31,0,1,1,0,30,30,0,Rental,Private,Y,
608,New England Heritage Homes 1,Dorchester,02124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
609,New England Heritage Homes 2,Dorchester,02124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
610,New England Heritage Homes 3,Dorchester,02124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
611,New England Heritage Homes 4,Dorchester,02124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
612,New England Heritage Homes 5,Dorchester,02124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
613,New England Heritage Homes 6,Dorchester,02124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
614,New England Heritage Homes 7,Dorchester,02124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
615,New Port Antonio Apts,Roxbury,02119,227,227,0,0,0,0,227,227,0,Rental,Private,,Y
616,Newcastle/Saranac,Roxbury,02127,97,97,0,48,48,0,49,49,0,Rental,Private,,Y
617,Nor-al,Dorchester,02124,57,57,0,0,0,0,57,57,0,Rental,Private,,Y
618,Norfield,Dorchester,02121,45,45,0,0,0,0,45,45,0,Rental,Private,,Y
619,Norflett (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
620,Norfolk Street Transitional,Mattapan,02126,3,3,0,0,0,0,3,3,0,Rental,Private,,
621,North Suffolk Group Home,East Boston,02128,28,28,0,0,0,0,28,28,0,Rental,Private,,
622,North Suffolk Group Home 2,Hyde Park,02136,28,28,0,0,0,0,28,28,0,Rental,Private,,
623,Northampton Street,Roxbury,02118,32,0,32,26,0,26,6,0,6,Ownership,Private,,
624,Northampton Tower,Roxbury,02118,347,347,0,86,86,0,261,261,0,Rental,Private,,
625,Northampton/Mass. Ave,Roxbury,02118,12,12,0,0,0,0,12,12,0,Rental,Private,,
626,Norway Housing,Fenway,02115,136,136,0,0,0,0,136,136,0,Rental,Private,Y,Y
627,Norwell Townhouses,Dorchester,02124,8,4,4,0,0,0,8,4,4,Ownership/Rental,Private,,
628,Norwell Whitfield (HOME AGAIN),Dorchester,02124,20,2,18,0,0,0,20,2,18,Ownership/Rental,Private,,
629,Nu Life Development,Dorchester,02121,16,0,16,0,0,0,16,0,16,Ownership,Private,,
630,OAK ROW,West Roxbury,02132,80,80,0,70,70,0,10,10,0,Rental,Private,,
631,Oak Terrace,Chinatown,02111,88,88,0,0,0,0,88,88,0,Rental,Private,Y,Y
632,O'Connor Way [Pier 4/Phase III Offsite Affordables],South Boston,02127,47,47,0,1,1,0,46,46,0,Rental,Private,Y,
633,Off Centre Lofts,Jamaica Plain,02130,21,21,0,19,19,0,2,2,0,Rental,Private,,
634,Old Colony (2-24),South Boston,02127,873,873,0,0,0,0,873,873,0,Rental,Public,,
635,Old Colony Square,South Boston,02127,24,0,24,21,0,21,3,0,3,Ownership,Private,,
636,Oliveira (VUP),Dorchester,02125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
637,Olmstead Green Phase 2,Mattapan,02124,50,50,0,0,0,0,50,50,0,Rental,Private,,
638,Olmstead Green Phase I Rental,Mattapan,02124,51,51,0,0,0,0,51,51,0,Rental,Private,,
639,Olmsted Green - Mixed Income Rental,Mattapan,02124,100,100,0,60,60,0,40,40,0,Rental,Private,,
640,Olmsted Green Phase 4,Mattapan,02124,47,47,0,0,0,0,47,47,0,Rental,Private,,
641,Olmsted Green Rental Housing Phase 3,Mattapan,02124,50,50,0,0,0,0,50,50,0,Rental,Private,,
642,Olmsted Place,Jamaica Plain,02115,196,196,0,159,159,0,37,37,0,Rental,Private,,
643,On Luck Housing,Chinatown,02111,75,75,0,1,1,0,74,74,0,Rental,Private,Y,Y
644,One Canal,West End,02114,310,310,0,290,290,0,20,20,0,Rental,Private,,
645,One Garden Condominium,Beacon Hill,02114,12,0,12,11,0,11,1,0,1,Ownership,Private,,
646,One Greenway (Parcel 24 North/Affordable),Chinatown,02111,312,312,0,217,217,0,95,95,0,Rental,Private,,Y
647,One Lenox (SPO),Roxbury,02118,26,26,0,1,0,1,25,25,0,Rental,Private,,
648,One Lincoln Plaza,Leather District,02111,85,0,85,74,0,74,11,0,11,Ownership,Private,,
649,One Newcomb Place,Roxbury,02118,23,23,0,20,20,0,3,3,0,Rental,Private,,
650,Orchard Gardens,Roxbury,02119,331,331,0,49,49,0,282,282,0,Rental,Public,,
651,Orchard Park (Off-Site Phase I),Roxbury,02119,78,78,0,14,14,0,64,64,0,Rental,Private,,
652,Orient Heights (200-8),East Boston,02128,331,331,0,0,0,0,331,331,0,Rental,Public,,
653,Otis Field Estates,Roxbury,02121,10,0,10,0,0,0,10,0,10,Ownership,Private,,
654,Owens (VUP),Dorchester,02121,2,2,0,0,0,0,2,2,0,Rental,Private,,
655,Oxford Ping On,Chinatown,02111,67,67,0,1,1,0,66,66,0,Rental,Private,,
656,Oxford Place,Chinatown,02111,39,39,0,0,0,0,39,39,0,Rental,Private,,Y
657,Packard Crossing Phase I,Allston,02134,38,38,0,33,33,0,5,5,0,Rental,Private,,
658,Parcel 24/South Homeownership,Chinatown,02111,51,0,51,0,0,0,51,0,51,Ownership,Private,,
659,Parcel 25 (Phase 1A),Mission Hill,02120,40,40,0,0,0,0,40,40,0,Rental,Private,,
660,Parcel 39A,Charlestown,02129,54,0,54,43,0,43,11,0,11,Ownership,Private,,
661,Parcel P-2,Charlestown,02129,21,0,21,14,0,14,7,0,7,Ownership,Private,,
662,Parcel R-8,Roxbury,02118,3,0,3,2,0,2,1,0,1,Ownership,Private,,
663,Parcel U (Phase A & C),Jamaica Plain,02130,102,78,24,21,0,21,81,78,3,Ownership/Rental,Private,,
664,Parcel U (Phase B),Jamaica Plain,02130,30,0,30,26,0,26,4,0,4,Ownership,Private,,
665,Paris Village,East Boston,02128,32,32,0,0,0,0,32,32,0,Rental,Private,,
666,Park Cinema,Dorchester,02122,38,38,0,0,0,0,38,38,0,Rental,Private,,Y
667,Park Congregate,Dorchester,02124,18,18,0,0,0,0,18,18,0,Rental,Private,Y,
668,Park Gardens,Roxbury,02119,38,38,0,0,0,0,38,38,0,Rental,Private,,Y
669,Park Lane Seaport Apartments (Massport Parcels G & J),South Boston Waterfront,02127,465,112,353,447,97,350,18,15,3,Ownership,Private,,
670,Parker Hill Apts,Mission Hill,02120,90,90,0,0,0,0,90,90,0,Rental,Private,,
671,Parkside on Adams,Roslindale,02131,43,43,0,37,37,0,6,6,0,Rental,Private,,
672,Parkview SRO,Fenway,02115,61,61,0,0,0,0,61,61,0,Rental,Private,,
673,Parkway Apartments,West Roxbury,02132,254,254,0,221,221,0,33,33,0,Rental,Private,,
674,Parmelee Court,Roxbury,02118,74,74,0,25,25,0,49,49,0,Rental,Private,,
675,Parry (VUP),Roxbury,02121,2,2,0,0,0,0,2,2,0,Rental,Private,,
676,Pasciucco Apts (2-54),Dorchester,02125,92,92,0,0,0,0,92,92,0,Rental,Public,Y,
677,Pass (VUP),Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
678,Patricia White (2-71),Brighton,02135,225,225,0,0,0,0,225,225,0,Rental,Public,Y,
679,Patrick (VUP),Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
680,PBX Residences,Chinatown,02111,46,46,0,39,39,0,7,7,0,Rental,Private,,
681,Peabody Building,Dorchester,02124,18,18,0,7,7,0,11,11,0,Rental,Private,,
682,Peabody Square/Englewood (2-83),Dorchester,02124,103,103,0,0,0,0,103,103,0,Rental,Public,Y,
683,Penniman on the Park,Allston,02134,36,0,36,30,0,30,6,0,6,Ownership,Private,,
684,Penny Savings,South End,02118,23,0,23,21,0,21,2,0,2,Ownership,Private,,
685,Pereira (VUP),Dorchester,02125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
686,Perkins (VUP),Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
687,Peterborough Housing,Fenway,02215,220,220,0,0,0,0,220,220,0,Rental,Private,,Y
688,Peters (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
689,Phillips Brooks School,Dorchester,02121,56,56,0,0,0,0,56,56,0,Rental,Private,,
690,Pickle Factory (Oliver Lofts),Mission Hill,02120,62,62,0,19,19,0,43,43,0,Rental,Private,,
691,Pine Street Harrison (SPO),South End,02118,11,11,0,0,0,0,11,11,0,Rental,Private,,
692,Pine Street Inn (689-1),South End,02118,150,150,0,0,0,0,150,150,0,Rental,Public,,
693,Pine Street Park Dr (SPO),Fenway,02215,22,22,0,0,0,0,22,22,0,Rental,Private,,
694,Pinnock (VUP),Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
695,Pond View Apartments,Jamaica Plain,02130,60,60,0,4,4,0,56,56,0,Rental,Private,,Y
696,Port 45,South Boston,02127,104,0,104,91,0,91,13,0,13,Ownership,Private,,
697,Portis Family House,Jamaica Plain,02115,7,7,0,0,0,0,7,7,0,Rental,Private,,
698,Powell (VUP),Roxbury,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
699,Prang Estates,Roxbury,02119,33,33,0,0,0,0,33,33,0,Rental,Private,,
700,Project Family Independence,Roxbury,02119,15,15,0,0,0,0,15,15,0,Rental,Private,,
701,Putnam Place,Roxbury,02121,9,1,8,2,0,2,7,1,6,Ownership/Rental,Private,,
702,Quincy Commons,Roxbury,02119,40,40,0,0,0,0,40,40,0,Rental,Private,Y,
703,Quincy Heights,Dorchester,02121,129,129,0,0,0,0,129,129,0,Rental,Private,,Y
704,Quincy Tower,Chinatown,02116,161,161,0,0,0,0,161,161,0,Rental,Private,Y,
705,RAP-UP I,Roxbury,02119,33,33,0,0,0,0,33,33,0,Rental,Private,,Y
706,RAP-UP II B,Roxbury,02119,51,51,0,0,0,0,51,51,0,Rental,Private,,Y
707,Raven-Ramsey-Folsom,Dorchester,02125,7,4,3,1,0,1,6,3,3,Ownership/Rental,Private,,
708,Reddick (VUP),Roxbury,02119,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
709,Renwood-Cunard,Roxbury,02120,17,17,0,0,0,0,17,17,0,Rental,Private,,
710,Reservoir Towers,Brighton,02135,242,242,0,0,0,0,242,242,0,Rental,Private,Y,Y
711,Residences At Bigelow Court,Brighton,02135,26,0,26,23,0,23,3,0,3,Ownership/Rental,Private,,
712,Residences at Brighton Marine,Brighton,02135,102,102,0,0,0,0,102,102,0,Rental,Private,,
713,Residences at Dahlgren Hall,South Boston,02127,18,0,18,16,0,16,2,0,2,Ownership,Private,,
714,Residences at Fairmount Station,Hyde Park,02136,27,27,0,0,0,0,27,27,0,Rental,Private,,
715,Riley House - 202,Hyde Park,02136,41,41,0,1,1,0,40,40,0,Rental,Private,Y,
716,Rivers Edge Condominiums,Mattapan,02126,62,62,0,56,56,0,6,6,0,Rental,Private,,
717,RMSC Family House Shelter Conversion,Dorchester,02121,8,8,0,0,0,0,8,8,0,Rental,Private,,
718,Robert L. Fortes House,Roxbury,02118,44,44,0,0,0,0,44,44,0,Rental,Private,Y,Y
719,Robinson (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
720,Rockingham Glen,West Roxbury,02132,143,143,0,100,100,0,43,43,0,Rental,Private,,
721,Rockland 202: Warren Gardens,Roxbury,02119,40,40,0,0,0,0,40,40,0,Rental,Private,Y,
722,Rockland Towers (2-50),West Roxbury,02132,69,69,0,0,0,0,69,69,0,Rental,Public,Y,
723,Rockvale Circle,Jamaica Plain,02130,30,30,0,15,15,0,15,15,0,Cooperative,Private,,
724,Rodrigues (VUP),Jamaica Plain,02130,2,2,0,1,1,0,1,1,0,Rental,Private,,
725,Rollins Square - Parcel 32C,South End,02118,184,37,147,74,0,74,110,37,73,Ownership/Rental,Private,?,
726,Rope Walk Complex,Charlestown,02129,97,97,0,84,84,0,13,13,0,Rental,Private,,
727,Roslindale Commons Condominiums,Roslindale,02131,12,0,12,11,0,11,1,0,1,Ownership,Private,,
728,Roslindale School,Roslindale,02131,84,84,0,0,0,0,84,84,0,Rental,Private,Y,Y
729,Roslindale Senior NP Hsg,Roslindale,02131,80,80,0,1,1,0,79,79,0,Rental,Private,Y,
730,Roslyn/Cliffmont,Roslindale,02131,118,118,0,0,0,0,118,118,0,Rental,Public,Y,
731,Roxbury Corners Coop,Roxbury,02118,54,54,0,13,13,0,41,41,0,Rental,Private,,
732,Roxbury Crossing Senior Building,Mission Hill,02120,40,40,0,1,1,0,39,39,0,Rental,Private,Y,
733,Roxbury Tenants of Harvard,Mission Hill,02115,20,20,0,7,7,0,13,13,0,Rental,Private,,
734,Roxse Homes,Roxbury,02118,346,346,0,0,0,0,346,346,0,Rental,Private,,Y
735,R-Prospect St,Charlestown,02129,14,0,14,11,0,11,3,0,3,Ownership,Private,,
736,RTH Restoration Housing,Mission Hill,02115,81,81,0,0,0,0,81,81,0,Rental,Private,Y,Y
737,Ruggles Shawmut Housing,Roxbury,02119,43,43,0,0,0,0,43,43,0,Rental,Private,?,Y
738,Rutherford Landing,Charlestown,02129,18,18,0,16,16,0,2,2,0,Rental,Private,,
739,Rutland Square,South End,02118,5,5,0,0,0,0,5,5,0,Rental,Private,,
740,Rutland/East Springfield St (2-74),South End,02118,13,13,0,0,0,0,13,13,0,Rental,Public,,
741,S Boston Hsg Initiative- Habitat,South Boston,02127,7,0,7,0,0,0,7,0,7,Ownership,Private,,
742,Safe Haven,Back Bay,02116,6,6,0,0,0,0,6,6,0,Rental,Private,,
743,Sarah Baker Manor,Roxbury,02119,41,41,0,0,0,0,41,41,0,Rental,Private,Y,Y
744,Saratoga Heights,East Boston,02128,21,0,21,18,0,18,3,0,3,Ownership,Private,,
745,Sargent Prince SRO,Roxbury,02119,29,29,0,0,0,0,29,29,0,Rental,Private,,
746,Sargent Street Homes - Home Again,Roxbury,02125,16,5,11,0,0,0,16,5,11,Ownership/Rental,Private,,
747,Savin Hill Apartments,Dorchester,02125,132,132,0,0,0,0,132,132,0,Rental,Private,Y,Y
748,Savin Maywood Init. (Phase II),Roxbury,02119,8,0,8,0,0,0,8,0,8,Ownership,Private,,
749,Savin/Creston Project,Roxbury,02119,28,28,0,2,2,0,26,26,0,Rental,Private,,
750,Savin/Maywood (Phase III) - Home Again,Roxbury,02119,5,0,5,0,0,0,5,0,5,Ownership,Private,,
751,Scattered Site Coop,Jamaica Plain,02130,18,18,0,3,3,0,15,15,0,Cooperative,Private,,
752,School House 77,Roxbury,02119,38,38,0,0,0,0,38,38,0,Rental,Private,?,
753,Schoolhouse Brookledge,Mattapan,02126,90,90,0,0,0,0,90,90,0,Rental,Private,Y,Y
754,Seaport Square Parcels B & C,South Boston Waterfront,02210,832,832,0,736,736,0,96,96,0,Rental,Private,,
755,SECD Housing,Roxbury,02118,10,10,0,0,0,0,10,10,0,Rental,Private,,Y
756,SECHC Cumston St,South End,02118,58,0,58,51,0,51,7,0,7,Ownership,Private,,
757,SETH APARTMENTS I,South End,02118,185,185,0,0,0,0,185,185,0,Rental,Private,,Y
758,Seton Manor,Brighton,02135,19,19,0,0,0,0,19,19,0,Rental,Private,,
759,Shalom Properties,East Boston,02128,30,30,0,0,0,0,30,30,0,Rental,Private,,
760,Shawmut Ave Lodging House,South End,02118,15,15,0,0,0,0,15,15,0,Rental,Private,,
761,Shawmut Estates (p/o Orchard Park offsite Phase 3 HO),Roxbury,02119,15,0,15,0,0,0,15,0,15,Ownership,Private,,
762,Shore Plaza East,East Boston,02128,380,380,0,0,0,0,380,380,0,Rental,Private,,Y
763,Signal Building,South Boston,02127,75,0,75,66,0,66,9,0,9,Ownership,Private,,
764,Singleton (VUP),East Boston,02128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
765,Siochain II,East Boston,02128,6,6,0,0,0,0,6,6,0,Rental,Private,,
766,Siochain Rental Rehab Project I,East Boston,02128,12,12,0,1,1,0,11,11,0,Rental,Private,,
767,Sister Clara Co-op,Dorchester,02125,25,25,0,0,0,0,25,25,0,Rental,Private,,
768,Six55 Condominium,South Boston,02127,18,0,18,16,0,16,2,0,2,Ownership,Private,,
769,Smith House,Roxbury,02119,132,132,0,0,0,0,132,132,0,Rental,Private,Y,
770,"Smith, Steven (VUP)",Dorchester,02121,1,1,0,0,0,0,1,1,0,Rental,Private,,
771,Soares (VUP),Roxbury,02125,1,1,0,0,0,0,1,1,0,Rental,Private,,
772,Soldiers Field Rd Offsite Affordable,Allston/Brighton,02135,38,0,38,0,0,0,38,0,38,Ownership,Private,,
773,"Sonoma, Maple, Schuyler",Roxbury,02121,115,115,0,15,15,0,100,100,0,Rental,Private,,Y
774,Sophia Snow House,West Roxbury,02132,102,102,0,0,0,0,102,102,0,Rental,Private,?,
775,South Bay Mixed-Use Town Center (Building D),Dorchester,02125,260,260,0,226,226,0,34,34,0,Rental,Private,,
776,South Boston Coop Svc Hsg,South Boston,02127,65,65,0,0,0,0,65,65,0,Rental,Private,Y,
777,South Boston Elderly Housing,South Boston,02127,50,50,0,0,0,0,50,50,0,Rental,Private,Y,
778,South Boston Housing Initiative - Cityside,South Boston,02127,5,0,5,0,0,0,5,0,5,Ownership,Private,,
779,South Boston Portfolio,South Boston,02127,27,27,0,0,0,0,27,27,0,Rental,Private,,
780,South Cove Apts,Downtown,02109,231,231,0,2,2,0,229,229,0,Rental,Private,Y,Y
781,South End Apartments,Roxbury,02120,27,27,0,0,0,0,27,27,0,Rental,Private,,Y
782,SOUTH END APARTMENTS RENOVATION PROJECT,Roxbury,02118,5,5,0,0,0,0,5,5,0,Rental,Private,,
783,South End CHC,South End,02118,60,2,58,54,0,54,6,2,4,Ownership/Rental,Private,,
784,South End Coop. Housing,South End,02118,75,75,0,2,2,0,73,73,0,Rental,Private,,
785,South End Tenants I,South End,02118,100,100,0,0,0,0,100,100,0,Rental,Private,Y,Y
786,South End Tenants II,South End,02116,185,185,0,0,0,0,185,185,0,Rental,Private,,Y
787,South Street (200-12),Jamaica Plain,02130,132,132,0,0,0,0,132,132,0,Rental,Public,,
788,Southwest Crossing Condominium,Roslindale,02131,12,0,12,8,0,8,4,0,4,Ownership/Rental,Private,,
789,Spencer House,Jamaica Plain,02119,46,46,0,0,0,0,46,46,0,Rental,Private,Y,
790,Spring/Temple St (2-70),West Roxbury,02132,104,104,0,0,0,0,104,104,0,Rental,Public,Y,
791,St Botolph Apts (2-53),Back Bay,02116,132,132,0,0,0,0,132,132,0,Rental,Public,Y,
792,St Botolph St. Assisted Living Community,Back Bay,02118,82,82,0,28,28,0,54,54,0,Rental,Private,Y,
793,St Botolph Street Apts,Back Bay,02115,135,135,0,43,43,0,92,92,0,Rental,Private,,Y
794,St Botolph Terrace,Fenway,02115,52,52,0,0,0,0,52,52,0,Rental,Private,,Y
795,St Cecilia's House,Fenway,02115,123,123,0,0,0,0,123,123,0,Rental,Private,Y,
796,St Gabriel's,Brighton,02135,670,559,111,572,476,96,98,83,15,Rental,Private,,
797,St Helena House,South End,02118,74,74,0,1,1,0,73,73,0,Rental,Private,Y,Y
798,St James Estate Condominium,Roxbury,02119,22,0,22,14,0,14,8,0,8,Ownership,Private,,
799,St John of God - Market & Clergy,Brighton,02135,92,8,84,84,0,84,8,8,0,Ownership/Rental,Private,,
800,St Josephs Housing,Roxbury,02119,137,137,0,32,32,0,105,105,,Rental,Private,,Y
801,St Kevin's,Dorchester,02125,80,80,0,0,0,0,80,80,0,Rental,Private,,
802,St Peter and Paul Church and Rectory,South Boston,02127,44,0,44,37,0,37,7,0,7,Ownership,Private,,
803,Stadia 50,Brighton,02135,46,0,46,40,0,40,6,0,6,Ownership,Private,,
804,Stafford Heights/New Boston Coop,Roxbury,02119,41,41,0,0,0,0,41,41,0,Cooperative,Private,,
805,Stanwood Homes - Home Again,Dorchester,02121,19,7,12,0,0,0,19,7,12,Ownership/Rental,Private,,
806,Stille (VUP),South Boston,02127,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
807,Stonewall at Audubon Circle Phase I,Fenway,02215,53,0,53,48,0,48,5,0,5,Ownership,Private,,
808,Stony Brook Gardens/ Chestnut-Lamartine,Jamaica Plain,02130,50,50,0,0,0,0,50,50,0,Cooperative,Private,,
809,Stony Brook Village (formerly Canterbury Hts),Roslindale,02136,98,98,0,0,0,0,98,98,0,Rental,Private,,
810,Strada 234,West End,02114,108,108,0,88,88,0,20,20,0,Rental,Private,,
811,Strathcona Arms (p/o Ten Most Wanted),Dorchester,02121,14,14,0,0,0,0,14,14,0,Rental,Private,,
812,Sullivan (VUP),Dorchester,02121,1,1,0,0,0,0,1,1,0,Rental,Private,,
813,Sumner Court,Dorchester,02125,10,0,10,0,0,0,10,0,10,Ownership,Private,,
814,Sumner Hill House,Jamaica Plain,02130,75,0,75,45,0,45,30,0,30,Rental,Private,,
